Reformatsioon pagendas mungad Tallinnast Saksamaale .	pagendas	1	Act
Küsitakse , miks ei tööta teie ülikoolis eesti keele professor ?	Küsitakse	0	Pass
Enne kui Merimaad oleks mindud sundkorras kodust Tõstamaalt ära tooma , oleks Tammanni kinnitusel tema andmeid põhjalikumalt kontrollitud .	mindud	4	Pass
Pööre Hollandi tööjõuturul algas Wassenaari lepinguga aastal 1982 , millega limiteeriti palgakasv , kitsendati töötu abirahasid ja eemaldati osalise tööaja barjäärid .	limiteeriti	10	Pass
Hiinas on riiklikult reguleeritav turumajandus ning seal on otsustatud teisiti , seal arvestatakse ka nende huve , kes eluvõitluses kaotajaks jääksid .	arvestatakse	12	Pass
John Madison , John Jay ning Alexander Hamilton kirjutasid aastal 1787 konstitutsiooni kiiremaks läbisurumiseks terve seeria esseesid , mis avaldati nime all “ The Federalist Papers ” [ 21 ] .	avaldati	19	Pass
Esile on aga tõusnud uued teemad - protestitakse globaliseerumise vastu jms .	protestitakse	7	Pass
" Me nimetame nüüd laudaskäimist tulevikuinvesteeringuks , " rääkis kaheksat lehma pidava pere naispool .	nimetame	2	Act
Jan püüdis vene keelt purssides möödakäijatelt välja uurida , kus asub bussipark number kolm ja seigelnud mõne aja linnatranspordiga , astus veendunud ilmel valvuriputkasse .	seigelnud	15	Act
Arvukad uuringud näitavad - ELi minek kahandab meie konkurentsivõimet .	kahandab	6	Act
" Tuhkatriinut " on kirjutatud mitu versiooni , lavastatud loendamatuid kordi .	lavastatud	8	Pass
6. detsembril kohtusid Hiiumaa omavalitsusjuhid elektrifirma esindajatega .	kohtusid	2	Act
Mälukiibi suhtlus väliskeskkonnaga toimub läbi 8-bitise rööppordi , mille kaudu edastatakse nii andme- , aadressi- kui ka juhtinformatsiooni .	edastatakse	10	Pass
Ehtsad taimed pistab loom lihtsalt nahka või tallab ära .	pistab	2	Act
Nii nagu ühele ülikoolihaigla arstile kohane , pühendus Tähti Saar paralleelselt kliinilise tööga ka õppe- ja teadustööle ning ta on alates 1979. aasta märtsikuust kuni praeguse ajani töötanud arsti-õppejõuna selle sõnapaari kõige otsesemas tähenduses .	pühendus	7	Act
Juhindudes visuaalselt veenvalt endobronhiaalsele pahaloomulisele uudismoodustisele sobivast bronhoskoopilisest leiust , korrati bronhoskoopiaid kasvaja histoloogiliseks tõestamiseks järgmise 2 aasta jooksul mitu korda , kuigi üldseisundi stabiilsus andis tunnistust healoomulisest protsessist .	korrati	10	Pass
Kui ei olda Restaurantas , käiakse külas mõnes firmas või siis ollakse kambakesi mõne sõiduriista kallal .	käiakse	5	Pass
Põllumeestel on õnnestunud püüda ajakirjanike tähelepanu nii sigade , kitsede kui ka kootide ja vikatitega .	õnnestunud	2	Act
Meil on aga omavalitsusi , kus noortele aktiivse tegevuse korraldamise vajadust ei mõisteta ja kord lõhutud korvpallilaud jäetaksegi korrastamata .	jäetaksegi	17	Pass
Pidevalt röövitakse tühjaks tehase tööliste kortereid .	röövitakse	1	Pass
Edu EL-iga liitumisel aitab kaasa sellele , et Eestis asuvad või siia loodavad ettevõtted haaratakse enam kaasa EL turule tootvatesse võrgustikesse .	haaratakse	14	Pass
Registratuuri helistades kuuleb inimene tihti , et praegu pole võimalik registreerida , ning talle teatatakse , millal hakatakse vastuvõtule kirja panema järgmiseks kuuks , nädalaks või päevaks .	hakatakse	17	Pass
Seetõttu , et vutti tuntakse peale munade ja liha tootjana ka laboratoorsete katsete linnuna , kellel on palju ühist kanade seedefüsioloogia ja ainevahetusega , alustatigi antud uurimistööd katsetega vutimunade rikastamiseks ω-3-rasvhapetega .	alustatigi	24	Pass
Esimene reklaampilt , mis neljapäeva õhtul tegemata jäi , lükkas edasi ka ürituse reklaamimise .	lükkas	9	Act
Kõrge usaldatavusega andmeid leviedastatakse teistele protsessorüksustele viivitusteta , ja kui peakski selguma edastatud andmete kehtetus , siis teavitatakse sellest kohe .	leviedastatakse	3	Pass
Sellega on ära harjutud ja lõpuks hakkab meeldimagi .	harjutud	3	Pass
Sikhi mehed lisavad oma nimele liite Singh ( “ lõvi ” ) ja naised Kaur ( “ emalõvi ” ) .	lisavad	2	Act
Kui CMPs töödeldakse käsuvoogude erinevaid harusid ( lõimi ) , mis on staatiliselt moodustatud kas programmeerija või paralleliseeriva kompilaatori poolt , siis multiskalaarses protsessoris töödeldakse jadaprogrammi , mida on rikastatud täiendava järjestusinfoga .	töödeldakse	2	Pass
Ma jätsin siin enne puudutamata ühe geenitehnoloogilise suuna , nn. ksenoplantatsiooni - teistelt loomadelt pärit elundite siirdamise inimesele .	puudutamata	4	Act
