Nykyisin hän lentää aina muutaman viikon väliajoin Bostonista Tokioon kahdeksi viikoksi johtamaan nuorta New Japan Philharmonic Orchestraa ja lisäksi johtaa aika ajoin Euroopassa .	johtamaan	11	3
Veera yritti estellä minua takin kanssa , koska väri on oksettava , mutta minäpä en totellut , vaan sulatin Veeran lepyttelytanssillani keräten odoksuvia katseita .	keräten	21	2
Jouluaaton Helsingin Sanomissa dosentti Klaus Mäkelä ja kirjailija Pentti Holappa yrittävät käynnistää aparaattia nimeltä " älymystön keskustelu " .	käynnistää	11	1
Maailman kriisiytyessä on Kataisen mielestä epäolennaista puhua Suomen kärsimistä voitoista tai tappioista Kreikan pelastuspaketissa .	kriisiytyessä	1	2
Eduksi näet olisi , jos Suomi ja Ruotsi voisivat edetä Emuunkin yhteiseen tahtiin - hakeutua toisin sanoen Emuun samalla tavalla kuin Euroopan unioniin vuosi sitten .	edetä	9	1
Saadessanne käteenne tämän Kauppalehden toisen EY-lehden on osa lehden tekstistä valitettavasti jo vanhentunutta .	Saadessanne	0	2
Peku ei oikeastaan tunne mitään ajatellessaan ystäviään , vanhempiaan tai miestään .	ajatellessaan	5	2
Päätin laajentaa käyttövärieni kirjoa uudella värillä ja niin vaaleansininen siirtyi suosikkivärieni listalle .	laajentaa	1	1
Minulle oli aikoinaan kerrottu Floridaan , että Kaisu odotti täällä lasta ; Taisto sitä uutista oli tuonut tultuaan Suomesta , jossa oli käynyt peräämässä vanhoilta velallisiltaan saamisiaan .	peräämässä	23	3
6. Kansalliset keskuspankit voivat myöntää rahamarkkinarahastoille poikkeuksen arvostusmuutosten ilmoittamisen osalta poistamalla rahamarkkinarahastoilta velvollisuuden ilmoittaa arvostusmuutokset , tämän kuitenkaan vaikuttamatta 2 artiklan 2 kohdassa säädettyyn poikkeukseen .	vaikuttamatta	18	3
Kolmansien maiden kansalaisten kotouttamiseen liittyvät valmistelutoimet ( INTI ) ovat olleet keskeisessä asemassa edistettäessä paikallisen tason toimia sekä tehostettaessa verkostoja ja jäsenvaltioiden , alue- ja paikallisviranomaisten ja muiden sidosryhmien välistä tietojen vaihtoa ja parhaiden käytänteiden levittämistä .	edistettäessä	13	2
Tuolloin katsottiin parhaaksi ankkuroida laiva .	ankkuroida	3	1
Oli miten oli , se oli viimeinen kerta , jolloin hän jätti vihkonsa vahtimatta .	vahtimatta	13	3
Mennä siinä sitten 40 asteen kuumeessa suihkuun .	Mennä	0	1
Hän ottaa toisen kuulokkeistaan pois , vastaten ujosti	vastaten	6	2
Aino oli sanomassa jotain mutta ei sanonut .	sanomassa	2	3
Kesäyliopiston idea on kerätä eurooppalaisia nuoria pariksi viikoksi yhteen viettämään unohtumatonta kesää .	viettämään	9	3
Sanoitta ja vaieten sisällytän B:hen sen pyynnön , että .	vaieten	2	2
kupposet jäivät tungoksessa koskematta .	koskematta	3	3
Korjaussarjan kalahtelu ei kylläkään häirinnyt teekkareita , jotka valuivat festiretkeilijöiden yösijoille niiden vapautuessa .	vapautuessa	12	2
Vietin eilisen päivän tosiaan sohvalla lepäillen ja jalkaani hoitaen .	hoitaen	8	2
Kertoessani hänestä puhun toisinaan itsestäni .	Kertoessani	0	2
Ka niin kyllä myö on huomennakki on ajateltu että lähettään jonnekki ajeleksimmaan kahtelemmaan varsinni jos tämmönen keli on ni ,	ajeleksimmaan	11	3
Voisitteko toistaa kysymyksen , olkaa hyvä .	toistaa	1	1
Itse autoradiota sen enempää kuin sähköliittimiä ei tarvitse asennuksen takia välttämättä irrottaa ;	irrottaa	11	1
Mukavuuspisteeni nousivat ropisten toisena iltana , kun tytöt saivat söpöt rusetticlutchit minulta .	ropisten	2	2
Thatcherilla on ollut selviä vaikeuksia sopeutua uuteen asemaansa entisenä suurmiehenä	sopeutua	5	1
Ja haluaisin toki vierailla useammin mummulassa ja Skip-bo-kodissani .	vierailla	3	1
– Hoitotieteellisesti ajatellen potilaalla on oikeus kaikkeen tietoon , joka jollain tavalla liittyy hänen sairauteensa , professori Helena Leino-Kilpi pohti esitellessään voimavaraistumista tukevan potilasohjauksen teoreettista perustaa .	ajatellen	2	2
Luova valaisee , että Kiinassa on alettu kiinnittää huomiota kaupunkien toimivuuden parantamiseen , sillä se on edellytys Kiinan talouskasvun jatkumiselle ja yhteiskunnan tasapainolle .	kiinnittää	7	1
Joka jää nyt kotiin , on vaarassa jämähtää sinne lopuksi ikää .	jämähtää	7	1
Jos Picasso onkin nyt yleisesti tunnustettu kolmiotaiteilija , ei tulevia suuruuksia kannata käydä ennakoimaan .	ennakoimaan	13	3
Hän nousi autosta jalkojaan oikoen ja seisahtui tarkkailemaan ympäristöään .	tarkkailemaan	7	3
Kuljin talon läpi aukaisten joka oven .	aukaisten	3	2
No ei se mitään , hyppäsin satulaan ja aloin vinguttamaan ketjuja .	vinguttamaan	9	3
Hän huolestuneena tiedusteli , mahtaisimmeko jaksaa majoittaa heitä niin usein .	majoittaa	6	1
Ei kai paikalla olisi muutoin ollut elvistelemässä ainoatakaan vähäpukeista syvähaastattelun arvoista kaunista tennisfania .	elvistelemässä	6	3
Tähän päivään saakka Yhdysvallat on tehnyt tyhjiksi kabotaasiin liittyvät neuvottelut vetoamalla turvallisuusnäkökohtiin , minkä vuoksi alalla ei ole edistytty lainkaan .	vetoamalla	10	3
Pyydän tulla otetuksi huomioon täytettäessä suomen kielen assistentin tointa .	täytettäessä	4	2
Lisäksi Tšerepanov pelasi alle 18-vuotiaiden maajoukkueessa voittaen hopeaa .	voittaen	6	2
unessakin tiedän , ettei niin pitkää matkaa pysty taivaltamaan jalan , että on sulaa hulluutta yrittääkään .	yrittääkään	15	1
" Näillä katkaisijoilla voit sytyttää ja sammuttaa katossa olevia lamppuja " , hän sanoi .	sammuttaa	6	1
Eräs vanhempi mies uskaltautuu paiskaamaan ministeriä olalle	paiskaamaan	4	3
Emme voi sysätä vastuutamme muille , sillä asettuessaan ehdokkaaksi Euroopan parlamenttivaaleissa jokainen meistä otti tehtävänsä vapaaehtoisesti vastaan .	asettuessaan	7	2
Kuka jaksaa kiihtyä vaikka aika ajoin tulee huijatuksi ?	kiihtyä	2	1
Minun täytyy ihmetellä , oliko tuo kaikki työ turhaa ?	ihmetellä	2	1
Eteenpäin en ala tavaraa postittamaan .	postittamaan	4	3
Hän maalasi pensselillä , sormin , harjalla , rätillä , ruiskulla , kannusta valuttamalla , kauhasta kaatamalla , lusikasta tiputtamalla , harjalla roiskimalla .	roiskimalla	22	3
Finavian mukaan kaikki lennot voidaan lentää , vaikka lennonjohtajat aloittaisivatkin lakkonsa .	lentää	5	1
Kolmenkymmenen ja neljänkymmenen välillä hän aamulla partaa ajaessaan yllätti peilissä mitättömyyden , turhantärkeän virkamiehen .	ajaessaan	7	2
Laskujen maksamisessa olemme valmiita joustamaan aikatauluissa .	joustamaan	4	3
Kukapa haluaisi asua itsensä varattomaksi ?	asua	2	1
Kauko Juhantaloa lainatakseni : Ei sovi vellihousuille !	lainatakseni	2	1
Jalmari ei muistanut nähneensä niitä naisen käsissä tätä ensikertaa tarkastellessaan , mutta ajatteli voivansa olla väärässä , koska kulkija oli muutenkin varsin rönsyilevän oloinen .	tarkastellessaan	9	2
melko painavat kuulokkeet eivät liikkeellä oltaessa tahdo pysyä päässä .	pysyä	7	1
Kyliä tyhjenee Oderjoen tulviessa K-Euroopassa	tulviessa	3	2
Näkyvyyden puute johtuu pääasiassa siitä , että verkosto joutui käynnistämään toimintansa aivan tyhjästä , joten sen ensimmäiset toimintavuodet kuluivat perustamistöissä .	käynnistämään	9	3
tyttö puraisi kikattaen ystävänsä kaulaa	kikattaen	2	2
Maisa onnistui pysyttelemään vakavana .	pysyttelemään	2	3
Keskustan Kimmo Tiilikainen on sanonut puolueen lehdelle Suomenmaalle , että Katainen olisi ylittänyt neuvotteluvaltuutensa sopiessaan Kreikan auttamisesta edellisessä EU-huippukokouksessa .	sopiessaan	14	2
eikä sellaisten miesten tarvinnut myyjiä kovin pitkään istua odottelemassa .	odottelemassa	8	3
Näin eri politiikan aspektit sulautuivat yhdeksi sekasotkuksi , jossa sijaishallitsija Kaarle yritti parhaansa mukaan pysyä koko maan hallitsijana ja jokaisen belgialaisen edustajana .	pysyä	14	1
Että tekee jotakin , jota ei pysty hallitsemaan .	hallitsemaan	7	3
Kyllä minä ymmärrän , että sinä laihtua haluat , mutta en sitä , miksi siitä pitää amerikkalaisille maksaa .	laihtua	6	1
Huurre asetteli sormenpäitään yhteen harkiten , ikään kuin olisi rakentanut monimutkaista palapeliä .	harkiten	4	2
Liiton säännöt tuntien se ei onnistu .	tuntien	2	2
Syödessään hän lukee .	Syödessään	0	2
Hän antoi turisteille neuvoja kaupungin nähtävyyksistä esiintyen jonkinlaisena avuliaana Aatuna .	esiintyen	6	2
Yli kahdenkymmenen vuoden uransa aikana yhtye on kehittänyt tyyliään jatkuvasti , eikä sen vaikutusta myöskään progressiiviseen metalliin voi liioitella .	liioitella	18	1
Hätistelin koputtelemalla ikkunalasia oravaa kauemmas .	koputtelemalla	1	3
Aivan kuin se ei ollenkaan tajuaisi , että Eeva on kuolemassa .	kuolemassa	10	3
− Sihvosen tutkimuksessa osoitetaan , miten tietokonepelien modausta analysoimalla päästään tarttumaan laajempaan digitaalista kulttuuriamme määrittävään dynamiikkaan .	tarttumaan	10	3
Tämä idea sai kilpailutuomarit hyppäämään yläpystyyn ja ryntäämään papereitaan heilutellen pitkin yliopiston käytäviä .	ryntäämään	7	3
Käynnistin auton kiroillen hiljaa itsekseni .	kiroillen	2	2
Itseään voi tyrkyttää verkosta löytyvällä lomakkeella .	tyrkyttää	2	1
Likaisia astioita , roskia viemättä , pyykit pitkin poikin .	viemättä	4	3
Vasta tänään eräs toinen vaalipiirissäni asuva skotti , Duncan Thorpe , kysyi , onko hän oikeutettu saamaan korvausta lennon viivästyessä vähintään viisi tuntia .	viivästyessä	19	2
Sain asian hoitaakseni	hoitaakseni	2	1
On todennäköistä , että kaupungin hallinnossa on myös Neste Oilin työntekijöitä ja muita sidosryhmiä lomautuksista päättämässä .	päättämässä	15	3
Vaalitarkkailijoita voidaan manipuloida ja heidät voidaan yllyttää vastatusten .	yllyttää	6	1
Syödessään hän maiskuttaa .	Syödessään	0	2
Vielä syyskuussa kauppa kävi niin kuumana , että asuntoja saatettiin ostaa jopa näkemättä .	näkemättä	12	3
Mennä nyt paljastamaan juoni etukäteen .	Mennä	0	1
Vain hänellä ja Arimolla ei ollut lapsia , Tuura ajatteli sipaisten kädellään vyötäröään , joka oli yhtä hoikka kuin hänen tänne tullessaankin .	sipaisten	10	2
