Ammatti ei ole niitä hauskimpia , mutta jonkun tätäkin on tehtävä .	hauskimpia	4	Plur
Oikeasti pyysin sitä kuvaan , kun nuo köydet olivat niin outoja .	outoja	10	Plur
Varhainen Beethoven on yleensäkin hieman kaavamaista , perinteisiä ratoja noudattavaa , jos kohta viehättävää musiikkia ; .	kaavamaista	5	Sing
Kiireisimmät pääsivät Helsinkiin lentäen tiistaina .	Kiireisimmät	0	Plur
Miksi talvella pitää käyttää koko ajan ihan tylsiä kenkiä ?	tylsiä	7	Plur
Hu Jun saavutti MM-kilpailuissa Zagrebissa 2006 joukkuekultaa ja henkilökohtaista hopeaa 10 m ilmapistoolissa .	henkilökohtaista	8	Sing
Vakuutuksenottaja on esimerkiksi saattanut saada vakuutuksensa poikkeuksellisen halvalla konkurssiin menneestä yhtiöstä .	halvalla	7	Sing
Tämän toiminnan joutavuudessa korostuu mikäli tarpeen se , että koko prosessi on joutava : kyse on monivuotisten ohjausohjelmien joutavuudesta , josta pääasiassa aiheutuu vilpillisiä toimia , jotka suosivat tiettyjä laivastoja toisten kustannuksella .	monivuotisten	16	Plur
Valkosipuliset omenaiset porsaankyljykset	Valkosipuliset	0	Plur
Harjun Nuorten Kuoron äänenmuodostus on näin nuoreksi kuoroksi hämmästyttävän täyteläinen ja aikuismainen .	aikuismainen	11	Sing
Hajanaisesta kinkusta huolimatta joulumme oli mitä ehjin ja hupaisin .	hupaisin	8	Sing
Ekstaasin käytön myönteisiä vaikutuksia , kuten lisääntynyttä empatiakykyä , energisyyttä ja euforiantunnetta ei ole tutkittu juuri lainkaan .	myönteisiä	2	Plur
Sotaveteraani taitteli lakanan kokoista äänestyslippuaan Moskovassa .	kokoista	3	Sing
melko painavat kuulokkeet eivät liikkeellä oltaessa tahdo pysyä päässä .	painavat	1	Plur
Myyjä silppusi kylmäsavukaslerista ohuita viipaleita ja nosti ne maistettaviksi lihaveitsen kärjessä .	ohuita	3	Plur
Pieni lintu oli seurannut häntä ensin ruokalaan ja lopulta mäennyppylälle .	Pieni	0	Sing
Mutta avot kun me maataan maassa nenä turpeessa ja pelätään ja vaihdetaan lipasta ; se on tuskaisen hidas operaatio .	tuskaisen	16	Sing
Mahdoin olla riettaan näköinen aamulla ; vaaleanlaihan maalaismusikaaliavustajatytön , jossa oli jotain tylyä , tavallista , kunnollista ja ystävällisen huolellista , siis epätaiteellista , oli mahdoton päästä alkuun .	epätaiteellista	22	Sing
Uudenvuoden juhlista tulee erityisen railakkaat pop-tähti Elton Johnille , sillä hänen ritariksi lyönnistä ilmoitetaan tähdelle virallisesti jo tänään .	railakkaat	4	Plur
Viime vuoden puolellahan mä sain valmiiksi edellisen pitkäsoiton ´ Punainen ´ , jonka tekeminen tuntui hyvältä .	edellisen	6	Sing
Naapurit ovat täysin tietämättömiä , että viereisessä talossa tapahtuu jotakin mikä muuttaisi kaiken .	tietämättömiä	3	Plur
Meidän on vaadittava sitä , että panostaisimme uusiutuviin energialähteisiin ainakin enemmän kuin sellaiseen energialähteeseen , jota emme tunne lainkaan , eli ydinfuusioon , ja kumottava heti fission tutkimukseen myönnetyt varat ja siirrettävä ne kokonaisuudessaan ja suoraan uusiutuviin energialähteisiin .	uusiutuviin	36	Plur
Raottanut huulensa , hengittänyt humuksesta sakeaa vettä vain uudelleensyntyäkseen omassa sängyssään , hiukset otsaan liimautuneina , mullan maku suussaan .	sakeaa	5	Sing
Ässät oli Lukkoa terävämpi ja innokkaampi joukkue .	terävämpi	3	Sing
Tosin maakohtaisia eroja on paljon .	maakohtaisia	1	Plur
Kolmanneksi tässäkin raportissa ympäristönäkökohtien sisällyttäminen Lissabonin strategiaan vaikuttaa todella pelkältä nimelliseltä eleeltä .	nimelliseltä	10	Sing
Teollisuuden kasvua lisäävät enää sähkötekniset tuotteet .	sähkötekniset	4	Plur
Ihmiset puhuvat elämästään juhlallisin ilmaisuin , on kuin kuuntelisi Aki Kaurismäen dialogia .	juhlallisin	3	Plur
Toiseksi sijoittunut Kiinan Zhu Qinan ampui 699,7 pistettä ja pronssia ottanut Häkkinen ampui 699,4 pistettä .	Toiseksi	0	Sing
Ensimmäinen single Worried About Ray sijoittui viidenneksi Britannian singlelistalla heinäkuussa 2007 .	viidenneksi	6	Sing
| D05 | valtuuskunta EU:n ja Moldovan parlamentaarisessa yhteistyövaliokunnassa : 14 jäsentä	parlamentaarisessa	7	Sing
Se ois mielenkiintosta tietää että mitkä kriteerit tällä vastatutkimuksella oli .	mielenkiintosta	2	Sing
Kolmanneksi on erittäin ongelmallista , ettei maahanmuutosta ja turvapaikasta ole tarkkoja , ajantasaisia ja vertailukelpoisia tilastotietoja .	vertailukelpoisia	14	Plur
Lantanidikelaattejen käyttö merkkiainemolekyyleinä bioaffiniteettimäärityksissä on mahdollistanut erittäin herkkien menetelmien kehittämisen esimerkiksi kliiniseen diagnostiikkaan .	herkkien	7	Plur
Voi olla , että tämä voi olla typerimpiä tapoja lähteä maailmasta , ehkä minulle nauretaan , etten keksinyt parempaakaan kuin jäätyminen kuoliaaksi .	typerimpiä	7	Plur
Liekki leimahti sitten , kun sen oli sopiva aika leimahtaa .	sopiva	7	Sing
Usein pienissä isännöitsijä toimistoissa isännöitsijä saattaa hoitaa myös taloyhtiön kirjanpidon ja tällöin kirjaa ja käsittelee itse tekemiään kuluja ja tositteita .	pienissä	1	Plur
Brasilialaiset joutuvat ottelussa sellaisiin ongelmiin , millaisia he eivät toistaiseksi ole tässä turnauksessa kokeneetkaan , Sacchi lupasi .	Brasilialaiset	0	Plur
Omissa huoneissa voi tupakoida 15 prosentissa työpaikoista ; omassa huoneessa tupakoimisen sallii lakikin .	Omissa	0	Plur
lakiluonnoksissa on ehdotus , joka sallisi markalle kiinteän kurssin .	kiinteän	7	Sing
Näin ollen Index peittoaa kirjaimellisesti vaikutuspiiriinsä kaikki yhteiskuntatieteellisen tiedekunnan yksittäiset oppiaineet .	yhteiskuntatieteellisen	7	Sing
Selässä ja kyljissä on pitkittäissuuntaisia ruskeita viiruja ; vatsapuolella ruskeita pilkkuja .	ruskeita	5	Plur
silmävarainen arviointi on yksinkertaisin ja nopein suorittaa , mutta sen luotettavuus riippuu arvion suorittajan taidosta	nopein	5	Sing
Sibeliuksen musiikki on suurempaa kuin " vain suomalaista "	suurempaa	3	Sing
Sen jälkeen ( tai vaikka ennen sitä ) voi hakea kirjastosta mielenkiintoisia , kiehtovia ja avartavia teoksia liittyen hyvää tekevään ravintoon .	avartavia	15	Plur
